Filename;ActivityName;Location;ReferenceProduct
17001_756fa019-a421-4406-b6f3-680214b97721_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;PE;electricity, high voltage
17002_f58bd672-eb9c-4f32-a900-b36d6880b9ba_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;CO;electricity, low voltage
17003_29139322-a36b-49cf-a103-1b0f6642f344_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;AR;electricity, low voltage
17004_bc60a3d2-a134-4561-b3ae-7a87feb6d378_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;market for electricity, medium voltage;CO;electricity, medium voltage
17005_abdd143f-ed5a-482d-bca6-33df3d90ed2a_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;AR;electricity, high voltage
17006_cb07b566-d6aa-42f0-809a-bb45c16143a2_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;PE;electricity, low voltage
17007_8799159d-58a2-4057-9d50-1d7dc7f5bfcf_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;CO;electricity, high voltage
17008_21c7fdc3-646b-427e-907d-2483e0c0b095_deb4f70c-bf2a-4cd3-bc3b-c71af8820da3.spold;soybean production;BR;soybean
17009_24c3257c-e9ef-4afc-ae75-f27c2936d3e6_e31efe33-e07e-4f56-ab66-08b13bd19d37.spold;sugarcane production;BR;sugarcane
17010_b8352bef-deaf-4b73-9894-241512782a4a_e31efe33-e07e-4f56-ab66-08b13bd19d37.spold;market for sugarcane;BR;sugarcane
17011_0ab1fb99-704b-44a4-8229-03d2b0d7e63c_1d32b849-121f-4d23-853c-fa2bf55c42e9.spold;market for land use change, annual crop;BR;land use change, annual crop
17012_f6a460a4-814e-4ed4-99f7-a0aff08e3c43_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;land already in use, perennial cropland to perennial crop;BR;land tenure, arable land, measured as carbon net primary productivity, perennial crop
17013_8ff1c254-36cd-44ad-8468-a5bb83947232_f372d4c2-7310-4fb9-8bb6-bee214fd08d1.spold;market for land use change, perennial crop;BR;land use change, perennial crop
17014_fc38e650-d775-4511-8b7f-aab0ecb2c0fa_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;market for land tenure, arable land, measured as carbon net primary productivity, perennial crop;BR;land tenure, arable land, measured as carbon net primary productivity, perennial crop
17015_04e944c5-5543-463b-a149-aeb7a459f5f5_1d32b849-121f-4d23-853c-fa2bf55c42e9.spold;land use change, annual crop;BR;land use change, annual crop
17016_07712ca3-84eb-4e6c-a722-38a7bd701fc0_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;clear-cutting, secondary forest to arable land, perennial crop;BR;land tenure, arable land, measured as carbon net primary productivity, perennial crop
17017_e7069d71-994b-485e-bf87-38f0477b64d1_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;land already in use, annual cropland to annual crop;BR;land tenure, arable land, measured as carbon net primary productivity, annual crop
17018_06f30028-39fb-4632-ba3a-2014f5671928_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;clear-cutting, secondary forest to arable land, annual crop;BR;land tenure, arable land, measured as carbon net primary productivity, annual crop
17019_308afb92-3020-44e5-ac4a-5dafd83dbad2_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;market for land tenure, arable land, measured as carbon net primary productivity, annual crop;BR;land tenure, arable land, measured as carbon net primary productivity, annual crop
17020_0a5e9aa2-f2eb-482f-85d5-a7342569841d_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;clear-cutting, primary forest to arable land, perennial crop;BR;land tenure, arable land, measured as carbon net primary productivity, perennial crop
17021_e29ce279-a24d-4a2d-a3df-fb097e73b5e7_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;clear-cutting, primary forest to arable land, annual crop;BR;land tenure, arable land, measured as carbon net primary productivity, annual crop
17022_ccb0c9bf-8adb-4d99-b620-bcab2ca80dc8_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;land already in use, perennial cropland to annual crop;BR;land tenure, arable land, measured as carbon net primary productivity, annual crop
17023_5d5916e1-29f1-48d9-9a9e-f9f3ff3b3904_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;land already in use, annual cropland to perennial crop;BR;land tenure, arable land, measured as carbon net primary productivity, perennial crop
17024_2b126cbf-9978-4410-ad23-759f1745bd1a_f372d4c2-7310-4fb9-8bb6-bee214fd08d1.spold;land use change, perennial crop;BR;land use change, perennial crop
17025_8486282b-7734-4645-809f-9dad04a8298b_e09971fb-f77e-48a3-99a8-4feba6a59bb4.spold;gold production;ZA;gold
17026_57b0fea8-7858-4d68-91a3-d86ed0f864be_a4c116d8-b097-4845-a0d6-3d433e9ba3fa.spold;textile production, kenaf;IN;textile, kenaf
17027_1b2f0cd6-00ea-453d-88db-97dceaed08d8_515dd20c-c5ae-4beb-a5f8-0b67918c28d6.spold;mine construction, gold;ZA;mine infrastructure, gold
17028_1adcabf5-95c5-435c-940f-613fb613c3e1_1945897f-c0a2-4dbf-8397-9fd93e6a9445.spold;onion production;IN;onion
17029_294c3f87-cb39-411d-9f72-bf5183b5d462_10f4accf-542d-4baa-a43d-94e16780c1c3.spold;yarn production, jute;IN;yarn, jute
17030_763abd88-2667-4fec-a5cc-581b37bda0ff_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b.spold;treatment of stalk, in wood heater 6kW;GLO;heat, central or small-scale, other than natural gas
17031_e3d29226-ffd2-4344-93a2-c090de66407b_cb262c3c-a7c7-4781-82e6-e1e90dd92b65.spold;iron ore beneficiation to 65% Fe;GLO;iron ore, beneficiated, 65% Fe
17032_c5612d88-5ac1-404c-8093-b79bb6c8df0a_6f179f71-33ce-4845-842f-bc7ae0bc1efe.spold;yarn production, kenaf;IN;yarn, kenaf
17033_8aa2cd34-70c5-45be-a006-7a423b61cd2f_686827fc-1f4c-44a4-a361-3ba77f0bc855.spold;iron mine operation, crude ore, 46% Fe;GLO;iron ore, crude ore, 46% Fe
17034_7fc09b6a-de3e-41ae-b45c-a22a08bc31e4_a636ed9e-f90a-48cb-a180-c75b1fc92cf1.spold;pig iron production;GLO;pig iron
17035_c692e53f-1e7e-4ad6-839d-a6905f18559b_d4591183-a1ce-4c6d-80fa-761edfb78aec.spold;sinter production, iron;GLO;sinter, iron
17036_ce5b21ac-ef25-4309-92de-90645a937088_e31efe33-e07e-4f56-ab66-08b13bd19d37.spold;sugarcane production;IN;sugarcane
